x,y
26.0,-9.0
-69.0,19.0
-28.0,20.0
67.0,65.0
27.0,-8.0
39.0,-34.0
12.0,-51.0
30.0,-3.0
-70.0,59.0
-62.0,36.0
-42.0,14.0
24.0,-41.0
-15.0,-33.0
37.0,14.0
38.0,-21.0
58.0,-43.0
-32.0,63.0
69.0,-34.0
-25.0,-41.0
-67.0,42.0
27.0,-31.0
-22.0,-36.0
31.0,-61.0
-18.0,83.0
-66.0,6.0
11.0,-3.0
23.0,-29.0
10.0,1.0
33.0,21.0
44.0,30.0
-10.0,59.0
-71.0,49.0
3.0,-1.0
49.0,-35.0
-51.0,27.0
77.0,-53.0
14.0,7.0
-57.0,-17.0
30.0,-49.0
58.0,55.0
63.0,21.0
77.0,68.0
53.0,-24.0
-44.0,43.0
76.0,-41.0
-40.0,13.0
-48.0,9.0
24.0,34.0
-59.0,36.0
15.0,-15.0
-58.0,1.0
-54.0,-29.0
-31.0,-46.0
-54.0,7.0
-21.0,4.0
53.0,-47.0
-50.0,-23.0
-30.0,-45.0
-44.0,20.0
-41.0,25.0
73.0,47.0
46.0,-50.0
-9.0,14.0
65.0,-37.0
68.0,-32.0
-39.0,-9.0
30.0,-59.0
17.0,8.0
-18.0,50.0
28.0,17.0
-12.0,-19.0
47.0,30.0
83.0,-47.0
-15.0,55.0
-68.0,49.0
52.0,-35.0
-1.0,-6.0
31.0,-58.0
29.0,18.0
25.0,-16.0
53.0,-34.0
-29.0,13.0
-75.0,46.0
-10.0,26.0
2.0,0.0
22.0,-22.0
66.0,21.0
72.0,64.0
36.0,-1.0
-59.0,26.0
-27.0,58.0
7.0,-29.0
-15.0,32.0
-69.0,61.0
76.0,70.0
9.0,17.0
68.0,66.0
29.0,-5.0
41.0,-31.0
-14.0,33.0
-68.0,62.0
34.0,-70.0
-1.0,7.0
-10.0,3.0
-63.0,-3.0
-45.0,45.0
56.0,-52.0
-40.0,-20.0
67.0,-37.0
26.0,-75.0
-9.0,4.0
-60.0,38.0
-40.0,16.0
-39.0,-19.0
-48.0,12.0
-47.0,-23.0
9.0,-6.0
-19.0,75.0
-14.0,10.0
-54.0,-26.0
52.0,-45.0
23.0,-72.0
-65.0,44.0
49.0,66.0
-41.0,-8.0
-21.0,7.0
25.0,-26.0
-16.0,85.0
-10.0,16.0
-64.0,45.0
56.0,-39.0
-44.0,23.0
