t,cov_v_theory,cov_v_sim
1.568,0.06542468005714375,0.055326980315047826
1.569,0.06535928807852526,0.05491379695780323
1.57,0.06529396145920027,0.055361304092921525
1.571,0.0652287001338422,0.05548926319606629
1.572,0.06516350403718968,0.055780727228022596
1.573,0.06509837310404665,0.05564760500127162
1.574,0.06503330726928214,0.055708531346399096
1.575,0.06496830646783032,0.05607742056150461
1.576,0.06490337063469036,0.055738783108103436
1.577,0.06483849970492647,0.05596730871603189
1.578,0.06477369361366768,0.055953376097180686
1.579,0.06470895229610792,0.05642322191966422
1.58,0.0646442756875058,0.056907102268535924
1.581,0.0645796637231848,0.057023858670402196
1.582,0.0645151163385329,0.05694785202551612
1.583,0.0644506334690027,0.056989617456361025
1.584,0.06438621505011134,0.05685678721013393
1.585,0.0643218610174404,0.05651184678489895
1.586,0.06425757130663584,0.05597711719819699
1.587,0.06419334585340794,0.05544242643179961
1.588,0.06412918459353123,0.05564066397311399
1.589,0.06406508746284448,0.05537024656058627
1.59,0.06400105439725051,0.055102606867721525
1.591,0.0639370853327163,0.05508371727557988
1.592,0.06387318020527272,0.05532635826230288
1.593,0.06380933895101469,0.05521667284973766
1.594,0.0637455615061009,0.055004943774485414
1.595,0.06368184780675397,0.05471592088358907
1.596,0.06361819778926012,0.054546769073314814
1.597,0.06355461138996937,0.0545122592370644
1.598,0.06349108854529531,0.05519692774028619
1.599,0.06342762919171509,0.05536665437973718
1.6,0.06336423326576933,0.055141668740787055
1.601,0.06330090070406214,0.054928266877404076
1.602,0.0632376314432609,0.054964235575986405
1.603,0.06317442542009641,0.055017059416999956
1.604,0.06311128257136257,0.05549347430477157
1.605,0.06304820283391659,0.055090849879592924
1.606,0.06298518614467867,0.054685813673407725
1.607,0.06292223244063216,0.05463723624512024
1.608,0.06285934165882333,0.05427115929003116
1.609,0.0627965137363614,0.05486907794503638
1.61,0.06273374861041843,0.05478106940419914
1.611,0.06267104621822932,0.054577256455580224
1.612,0.06260840649709162,0.05421738979089372
1.613,0.06254582938436566,0.054609868797186205
1.614,0.06248331481747428,0.05483265770594871
1.615,0.06242086273390294,0.05532071109215399
1.616,0.06235847307119952,0.05516589125065634
1.617,0.062296145766974384,0.054785665850530164
1.618,0.06223388075890019,0.0552665868779234
1.619,0.06217167798471196,0.05568246730670324
1.62,0.06210953738220687,0.0558574703130061
1.621,0.06204745888924436,0.055046568774993664
1.622,0.061985442443745896,0.05497592207966935
1.623,0.061923487983695055,0.05520675556766648
1.624,0.06186159544713734,0.054978386192038986
1.625,0.06179976477218025,0.05439475484985928
1.6260000000000001,0.06173799589699306,0.05488608397098781
1.627,0.06167628875980692,0.05486922760155357
1.6280000000000001,0.061614643298914674,0.05493165765977652
1.629,0.06155305945267088,0.05512344208656947
1.6300000000000001,0.061491537159491655,0.055145785167731505
1.631,0.06143007635785471,0.05516404724943252
1.6320000000000001,0.06136867698629925,0.05509337960823189
1.633,0.061307338983425885,0.05517649429132193
1.6340000000000001,0.06124606228789662,0.055415390269099515
1.635,0.061184846838434746,0.05613920757924551
1.6360000000000001,0.061123692573824794,0.055847636246320984
1.637,0.06106259943291253,0.056250171704170605
1.6380000000000001,0.06100156735460477,0.056411965843408886
1.639,0.060940596277869456,0.05627832894932369
1.6400000000000001,0.0608796861417355,0.056420230904891344
1.641,0.06081883688529276,0.05600923342620888
1.6420000000000001,0.06075804844769197,0.05622922494856705
1.643,0.06069732076814469,0.056150292567927744
1.6440000000000001,0.06063665378592323,0.05579385281547065
1.645,0.06057604744036063,0.055544768033915386
1.6460000000000001,0.0605155016708505,0.054999542345318474
1.647,0.06045501641684709,0.05520538744029721
1.6480000000000001,0.06039459161786513,0.054930146137034626
1.649,0.06033422721347983,0.05523837758521933
1.6500000000000001,0.06027392314332675,0.055498922142326636
1.651,0.06021367934710187,0.05618615856841287
1.6520000000000001,0.06015349576456133,0.05563108263446476
1.653,0.06009337233552158,0.05509871195104644
1.6540000000000001,0.06003330899985916,0.055252297998345024
1.655,0.059973305697510755,0.055211526434284425
1.6560000000000001,0.059913362368473035,0.05529213081680406
1.657,0.059853478952802686,0.05516448250577205
1.6580000000000001,0.05979365539061626,0.0555555939134827
1.659,0.05973389162209024,0.055665926041007126
1.6600000000000001,0.05967418758746079,0.055737850428151964
1.661,0.05961454322702392,0.05576373410286743
1.6620000000000001,0.05955495848113522,0.056058100626064374
1.663,0.05949543329020999,0.056707615273583825
1.6640000000000001,0.05943596759472299,0.05696488872132049
1.665,0.05937656133520856,0.057201745071552776
1.666,0.059317214452260396,0.05691374808721255
1.667,0.059257926886531635,0.05692864848306046
1.668,0.0591986985787347,0.05718230570134171
1.669,0.05913952946964126,0.05723892307108857
1.67,0.05908041950008224,0.057177950781698204
1.671,0.05902136861094762,0.057131205490355226
1.672,0.05896237674318655,0.057388382428292715
1.673,0.058903443837807115,0.057134643447937304
1.674,0.05884456983587645,0.057059425363800466
1.675,0.05878575467852051,0.0572210157359406
1.676,0.05872699830692416,0.05762474701809675
1.677,0.058668300662330995,0.05784535065130491
1.678,0.05860966168604339,0.05811909374899394
1.679,0.058551081319422354,0.05818739965520403
1.68,0.05849255950388752,0.057858826600745414
1.681,0.05843409618091706,0.057522327897460306
1.682,0.05837569129204765,0.057979646861992064
1.683,0.058317344778874396,0.05822736159223662
1.684,0.05825905658305079,0.05841466372382278
1.685,0.05820082664628861,0.057603419072825096
1.686,0.05814265491035794,0.057388031042495805
1.687,0.058084541317087006,0.05711350413314684
1.688,0.05802648580836225,0.057094756124347334
1.689,0.05796848832612812,0.056892282348307316
1.69,0.05791054881238716,0.057015998982567824
1.691,0.057852667209199835,0.05712089258360713
1.692,0.05779484345868453,0.05677094498810911
1.693,0.05773707750301751,0.057092638274157045
1.694,0.05767936928443281,0.05726843761694284
1.695,0.057621718745222185,0.057193770339735106
1.696,0.057564125827735124,0.05714354128560792
1.697,0.05750659047437867,0.05684022583624333
1.698,0.0574491126276175,0.05709533531214846
1.699,0.057391692229973736,0.05729074188011787
1.7,0.057334329224026995,0.058111080693664566
1.701,0.057277023552414236,0.05821850660267217
1.702,0.05721977515782982,0.05767732108063053
1.703,0.05716258398302532,0.058198115906386655
1.704,0.057105449970809574,0.058239550693098864
1.705,0.05704837306404855,0.05833479470129279
1.706,0.05699135320566535,0.05859640503135394
1.707,0.05693439033864009,0.05835120782212606
1.708,0.05687748440600994,0.05882494989319724
1.709,0.05682063535086892,0.05906144554773676
1.71,0.05676384311636799,0.05928704963089218
1.711,0.0567071076457149,0.05905695665216005
1.712,0.05665042888217419,0.05925657664673949
1.713,0.05659380676906707,0.058640645648118446
1.714,0.05653724124977145,0.05900309957445625
1.715,0.05648073226772178,0.05879732380735511
1.716,0.05642427976640909,0.058786670529354795
1.717,0.056367883689380865,0.05926616832941173
1.718,0.05631154398024104,0.05903655563741952
1.719,0.056255260582649874,0.05956605381715014
1.72,0.05619903344032398,0.05906367404060861
