x,y
-7,24
6,-37
-49,27
57,45
-37,38
49,41
-46,69
-93,-43
81,-7
-29,-22
-10,-9
-124,-31
50,42
10,-31
-44,-1
2,-35
-93,-7
-92,-42
54,12
-127,0
-41,3
0,41
-54,70
-115,-26
13,-20
-43,79
-123,-30
-124,5
-91,2
-58,-44
-40,4
7,-64
-48,0
-101,-6
99,19
4,47
-42,80
-108,-45
-90,3
-54,-74
-30,54
17,-14
57,22
3,51
77,0
28,-5
88,46
80,5
-62,-42
92,16
58,23
98,59
90,55
-33,21
81,6
-43,56
43,-21
-52,7
-79,-10
75,48
-59,-32
-58,-67
0,54
-121,-7
13,-7
32,6
-82,-16
-50,53
118,9
-89,-55
84,53
-7,14
57,35
-96,-58
-105,-27
-5,60
-93,-53
-120,-7
71,55
62,6
-125,0
-59,-55
0,31
85,-11
72,19
51,-4
43,-8
-30,8
-38,4
-27,13
88,0
53,42
72,55
45,38
-54,-84
-49,-6
-38,40
-132,-4
-40,79
-120,-30
-15,23
-14,-12
-22,-16
-49,30
-36,49
58,13
30,-6
-63,-48
-58,67
-106,-10
-136,-1
-94,-36
-35,50
-29,-19
12,-18
-43,46
-42,11
23,-9
-91,-31
102,55
-11,-1
-58,-77
87,12
-94,0
-62,69
13,-17
-42,47
-101,-39
-110,-8
-91,5
-90,-30
-109,-43
-30,21
-44,86
9,-51
88,13
-7,4
46,16
-49,7
38,12
-76,-10
57,25
97,61
89,57
-40,92
-47,53
98,62
-83,-13
-63,-35
10,-51
-60,-30
-59,-65
-8,17
60,35
53,-4
13,-40
-43,59
-1,60
75,51
-58,-64
-67,-33
46,-7
65,6
-117,-34
56,37
3,31
9,-38
68,11
-48,65
-47,30
6,-44
70,57
71,22
-63,-58
110,13
-53,-14
-55,62
60,12
-94,-46
12,-28
-43,36
-42,1
-19,-16
-59,-52
-27,-20
60,48
106,15
-61,-13
72,22
16,-22
-38,7
9,-61
-46,3
-5,4
-18,-15
15,-18
-40,46
-28,20
-49,-3
98,16
-65,-11
-4,5
82,8
-39,47
-107,-8
-106,-43
-36,52
12,-51
-73,-10
-1,50
-2,50
45,-18
-91,-28
-45,88
117,7
-80,-13
85,54
-63,76
57,-8
-5,17
-99,-27
113,9
78,51
89,60
-24,3
-12,14
-6,57
-114,-34
-94,-56
11,-3
12,-38
-2,27
4,-42
-23,4
-50,-13
16,-68
-84,-6
-113,-33
-101,-59
-110,-28
64,8
-123,2
-98,-54
-51,27
-40,36
7,-32
-47,-3
-68,-26
79,-7
-24,-20
-46,78
40,1
-62,-10
11,-26
-49,72
-23,-19
-31,-23
-84,-29
-93,2
-59,-85
-33,53
-94,-43
6,44
-61,-46
-1,40
-56,69
-50,0
-30,-22
-45,78
14,-16
-88,-27
78,5
-56,-75
-65,-44
89,14
36,8
-60,71
-99,-37
96,59
-39,14
88,55
8,-54
26,-6
0,-58
18,-10
59,28
79,6
-108,0
90,15
-85,-17
-106,-40
-60,-73
80,50
41,-21
60,-8
52,-12
-116,-5
4,-52
-45,55
-84,-16
81,51
-100,-24
1,-58
-81,-11
33,11
66,8
-115,-4
-9,14
-103,-30
14,-3
55,-2
-41,61
1,27
7,-42
67,9
-55,-17
59,5
-65,-31
-119,-2
-119,-1
-46,68
6,-1
-49,62
112,16
104,12
69,54
44,-3
-10,26
105,13
-123,-31
-44,33
2,0
3,-35
62,51
-53,64
108,18
-32,7
-100,-11
-42,79
4,46
78,-5
51,41
-90,2
72,64
-30,53
-65,-54
-122,-30
-56,-85
36,-1
55,11
-53,-80
8,-64
-6,1
92,15
-96,-36
-105,-5
21,-9
61,27
-61,-79
-57,71
91,55
-92,-30
74,2
-62,78
85,11
-17,0
-51,7
7,-52
78,8
-50,88
-97,-24
-37,27
77,12
-46,58
-61,78
-62,-30
-49,52
58,35
-104,-27
-4,60
-100,-57
-47,98
-51,-16
-58,-55
-48,-11
107,12
53,41
-90,-8
-38,39
-37,4
-46,35
1,30
-55,-14
-14,-13
5,0
-89,-7
-37,40
49,43
69,21
-25,14
-34,45
-47,75
-13,-12
-1,-3
-29,-20
10,-29
94,50
-54,72
-135,-1
-43,81
32,-5
-91,4
24,-9
-57,-83
16,-13
-70,-53
35,0
87,47
7,-62
-48,2
-101,-4
-89,-30
17,-12
-40,91
-34,22
80,7
-22,-4
-62,-40
92,18
90,57
42,17
2,-56
61,30
81,8
-47,88
73,4
-8,16
39,11
12,-6
31,7
43,-19
3,-55
-51,-26
-82,-14
