x,y
-24.0,-54.0
22.0,62.0
96.0,48.0
-11.0,-115.0
-135.0,115.0
66.0,105.0
85.0,118.0
66.0,-124.0
-89.0,2.0
57.0,56.0
54.0,-13.0
73.0,0.0
-10.0,2.0
3.0,-59.0
22.0,-46.0
75.0,46.0
80.0,-105.0
11.0,61.0
-89.0,123.0
-110.0,0.0
10.0,65.0
189.0,67.0
1.0,16.0
-15.0,8.0
64.0,72.0
-71.0,113.0
-39.0,65.0
33.0,-59.0
-122.0,67.0
-36.0,70.0
-103.0,80.0
65.0,-107.0
-106.0,11.0
-32.0,-40.0
68.0,-102.0
40.0,65.0
-48.0,-48.0
31.0,16.0
-57.0,-97.0
94.0,72.0
61.0,-105.0
-27.0,11.0
-94.0,21.0
5.0,-37.0
-50.0,64.0
-83.0,116.0
-37.0,3.0
73.0,134.0
147.0,83.0
-34.0,8.0
-115.0,83.0
-21.0,-53.0
-44.0,-37.0
121.0,67.0
-141.0,30.0
-36.0,83.0
79.0,70.0
-91.0,147.0
46.0,-107.0
21.0,65.0
-12.0,-112.0
-148.0,27.0
53.0,17.0
70.0,-43.0
42.0,-105.0
-58.0,-43.0
-77.0,-93.0
-14.0,-37.0
-124.0,91.0
-152.0,29.0
109.0,70.0
35.0,84.0
95.0,135.0
21.0,-43.0
-153.0,33.0
67.0,73.0
172.0,89.0
-63.0,-37.0
56.0,-86.0
42.0,16.0
-5.0,-96.0
-160.0,30.0
0.0,19.0
5.0,97.0
-42.0,22.0
-78.0,99.0
71.0,-101.0
-12.0,-99.0
-26.0,-34.0
48.0,-85.0
-2.0,94.0
180.0,71.0
-35.0,-83.0
6.0,-82.0
-123.0,33.0
-46.0,24.0
-146.0,86.0
-88.0,27.0
-69.0,40.0
-102.0,92.0
60.0,-75.0
-130.0,30.0
-17.0,-93.0
7.0,35.0
-40.0,-77.0
-54.0,25.0
-109.0,89.0
39.0,-13.0
-63.0,-24.0
-151.0,92.0
-132.0,105.0
-19.0,-18.0
146.0,86.0
104.0,89.0
57.0,-23.0
2.0,41.0
-40.0,44.0
-136.0,107.0
-137.0,111.0
-65.0,-13.0
-5.0,38.0
-19.0,-126.0
13.0,92.0
25.0,-83.0
118.0,108.0
11.0,-18.0
2.0,-67.0
43.0,-66.0
84.0,-28.0
-133.0,-26.0
-114.0,-13.0
-54.0,38.0
87.0,-23.0
92.0,92.0
64.0,-7.0
36.0,-69.0
96.0,-18.0
-6.0,-66.0
25.0,38.0
-75.0,100.0
-116.0,62.0
11.0,103.0
-103.0,1.0
-119.0,-7.0
-4.0,-20.0
15.0,-7.0
87.0,98.0
45.0,-128.0
-65.0,0.0
64.0,-115.0
-126.0,-10.0
-107.0,3.0
8.0,-10.0
-8.0,-18.0
-86.0,62.0
84.0,-15.0
-128.0,65.0
59.0,-72.0
85.0,65.0
-122.0,1.0
52.0,-112.0
-91.0,68.0
79.0,-9.0
84.0,106.0
-4.0,-7.0
-133.0,108.0
1.0,71.0
119.0,63.0
-62.0,-12.0
67.0,-127.0
-43.0,1.0
31.0,-50.0
70.0,-122.0
-66.0,17.0
-80.0,119.0
80.0,71.0
47.0,-106.0
33.0,-4.0
79.0,112.0
24.0,-53.0
82.0,117.0
-92.0,1.0
-106.0,66.0
73.0,68.0
-34.0,-58.0
-15.0,-45.0
-112.0,22.0
61.0,-50.0
-39.0,12.0
-94.0,76.0
0.0,-60.0
-110.0,68.0
79.0,4.0
-9.0,-109.0
-23.0,-44.0
-37.0,58.0
68.0,74.0
-117.0,65.0
-43.0,14.0
-76.0,66.0
86.0,-101.0
77.0,79.0
89.0,133.0
56.0,-44.0
-140.0,81.0
-41.0,23.0
-141.0,85.0
179.0,63.0
-143.0,12.0
65.0,-39.0
82.0,130.0
-106.0,79.0
-48.0,20.0
12.0,71.0
72.0,85.0
-16.0,-28.0
-145.0,87.0
130.0,63.0
-58.0,12.0
28.0,15.0
74.0,131.0
148.0,80.0
0.0,-47.0
74.0,-98.0
-14.0,18.0
65.0,82.0
-92.0,135.0
68.0,87.0
35.0,-90.0
141.0,77.0
86.0,141.0
-7.0,-87.0
53.0,-36.0
-90.0,144.0
70.0,133.0
-63.0,18.0
0.0,74.0
19.0,87.0
-14.0,-90.0
-143.0,25.0
-83.0,76.0
16.0,18.0
49.0,-34.0
-53.0,-82.0
-67.0,20.0
7.0,-31.0
62.0,-95.0
114.0,95.0
-21.0,-93.0
-54.0,-41.0
39.0,-79.0
-151.0,26.0
9.0,15.0
14.0,93.0
-60.0,-85.0
148.0,93.0
-74.0,-20.0
